,id,owner,description,latitude,longitude
0,24041508588,16967158@N03,{u'_content': u'Dominance\n\nNikon D7100\nNikon 55-300mm VR\n1/160th sec\nf/8\nfl=198mm\niso 400'},34.125785,-118.705601
1,25352952639,32229726@N03,"{u'_content': u""Wait for it...and turn on the sound. \n\nIt's amazing how its head stays so still while it flies around. If you look closely you can also see its little tongue going in and out and the feathers on the back of its head being blown around by the wind from its flapping wings. I love the moment when normal speed slows down and the sound of its chirping and flapping wings also slows down. \n\nShot with iPhone 6s: 720p and 240fps""}",34.092921,-118.596384
2,30866233185,16967158@N03,{u'_content': u'a local takes a breather during the continual frenzy at my 3 feeders...\n\nNikon D3300\nNikkor 55-300mm VR'},34.125412,-118.705387
3,30200653001,32229726@N03,"{u'_content': u""A fluffy puffed-up hummingbird, shot with Sony a6000 in California in August. \n\nI posted a version of this shot several weeks ago, but now I've done some more careful editing on it. Turns out I really can get better results with Lightroom on my computer than with Snapseed on my phone ;-)\n\nI've been sick all week so I haven't been able to go out and enjoy the fall (I'm jealous of all the amazing foliage photos I've been seeing in my feed), but at least I can enjoy playing with all the hummingbird photos and slow-mo videos I shot on my last trip to LA.  ""}",34.100441,-118.593290
4,30035934681,84267069@N08,"{u'_content': u'Female Acorn Woodpecker (Melanerpes formicivorus) at King Gillette Ranch in the Santa Monica Mountains, Malibu Creek Watershed.'}",34.102852,-118.706498
5,18657220880,16967158@N03,"{u'_content': u""Two beaks and a lot of poop!\n\n\nEvery year, the Swallows return to my area to hatch and raise their young in these really cool mud nests they construct, unless a mud nest already exists. \n\nThe Law states you can only remove a nest if the nest is vacant, or during it's construction phase. I will NOT remove a nest being made, because these buggers have been doing their thing for longer than I've been around, and I just plain like having them around. \n\nSure, they are messy, but hey, it's nature! When this season is over, and my friends move on, I will take this nest down because it will be two seasons (and four separate families) old and ready to be decommissioned. Come next year, my friends will return and make their new nest, because they know I am a friendly landlord! \n\n6D\nTamron 70-200mm f/2.8""}",34.125412,-118.705387
6,18180116232,16967158@N03,{u'_content': u'into the sun\n\nSL1\n100D'},34.125412,-118.705387
7,14932297394,32229726@N03,{u'_content': u''},34.095600,-118.598527
8,14932165484,32229726@N03,{u'_content': u''},34.095600,-118.598527
9,15550237401,32229726@N03,{u'_content': u''},34.095600,-118.598527
10,15552094992,32229726@N03,{u'_content': u''},34.095600,-118.598527
11,15364626269,32229726@N03,{u'_content': u''},34.095600,-118.598527
12,15364624069,32229726@N03,{u'_content': u''},34.095600,-118.598527
13,14930492134,32229726@N03,{u'_content': u''},34.095600,-118.598527
14,15353376950,32229726@N03,{u'_content': u''},34.095600,-118.598527
